"basisOfRecord","dcterms:bibliographicCitation","dcterms:bibliographicCitation","collectionID","collectionCode","dataGeneralizations","datasetID","datasetName","dynamicProperties","informationWithheld","institutionID","institutionCode","dcterms:language","dcterms:license","dcterms:modified","ownerInstitutionCode","basisOfRecord","dcterms:references","dcterms:accessRights","dcterms:rightsHolder","dcterms:type","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","behavior","catalogNumber","recordedBy","disposition","establishmentMeans","individualCount","lifeStage","occurrenceRemarks","occurrenceStatus","occurrenceID","organismQuantity","organismQuantityType","otherCatalogNumbers","preparations","sex","recordNumber","reproductiveCondition","associatedOrganisms","associatedOccurrences","organismID","organismName","organismRemarks","organismScope","previousIdentifications","day","endDayOfYear","eventRemarks","eventTime","eventID","fieldNotes","fieldNumber","habitat","month","eventDate","parentEventID","sampleSizeUnit","samplingEffort","samplingProtocol","startDayOfYear","verbatimEventDate","year","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","countryCode","county","verbatimDepth","verbatimElevation","footprintSRS","footprintSpatialFit","footprintWKT","geodeticDatum","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","georeferencedBy","georeferencedDate","higherGeography","higherGeographyID","island","islandGroup","decimalLatitude","locality","locationAccordingTo","locationRemarks","locationID","decimalLongitude","maximumDepthInMeters","maximumElevationInMeters","maximumDistanceAboveSurfaceInMeters","minimumDepthInMeters","minimumElevationInMeters","minimumDistanceAboveSurfaceInMeters","municipality","pointRadiusSpatialFit","stateProvince","verbatimCoordinateSystem","verbatimCoordinates","verbatimLatitude","verbatimLocality","verbatimLongitude","verbatimSRS","waterBody","identificationID","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","dateIdentified","identificationQualifier","typeStatus"
"FossilSpecimen","","","","Palaeontology","","","Database of Australasian Vertebrate Occurrences","","","","QM","","","","","FossilSpecimen","","","","","","Molnar, R.E. and Kurz, C., 1997, The distribution of Pleistocene vertebrates on the eastern Darling Downs, based on the Queensland Museum collections., Proceedings of the Linnean Society of New South Wales, 117: 107-134.","","","","DAVO-4091","","","","1","","","present","","","","DAVO=4091","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-27.55","","Molnar, R.E. and Kurz, C. 1997. The distribution of Pleistocene vertebrates on the eastern Darling Downs, based on the Queensland Museum collections. Proceedings of the Linnean Society of New South Wales 117: 107-134.","","","151.95000000000002","","","","","","","Darling Downs","","Queensland","degrees minutes","","-27 33","Site 27, Gowrie","151 57","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","Palaeontology","","","Database of Australasian Vertebrate Occurrences","","","","QM","","","","","FossilSpecimen","","","","","","Molnar, R.E. and Kurz, C., 1997, The distribution of Pleistocene vertebrates on the eastern Darling Downs, based on the Queensland Museum collections., Proceedings of the Linnean Society of New South Wales, 117: 107-134.","","","","DAVO-4130","","","","1","","","present","","","","DAVO=4130","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-27.55","","Molnar, R.E. and Kurz, C. 1997. The distribution of Pleistocene vertebrates on the eastern Darling Downs, based on the Queensland Museum collections. Proceedings of the Linnean Society of New South Wales 117: 107-134.","","","151.95000000000002","","","","","","","Darling Downs","","Queensland","degrees minutes","","-27 33","Gowrie Creek","151 57","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","Palaeontology","","","Database of Australasian Vertebrate Occurrences","","","","QM","","","","","FossilSpecimen","","","","","","Molnar, R.E. and Kurz, C., 1997, The distribution of Pleistocene vertebrates on the eastern Darling Downs, based on the Queensland Museum collections., Proceedings of the Linnean Society of New South Wales, 117: 107-134.","","","","DAVO-4175","","","","1","","","present","","","","DAVO=4175","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-27.93","","Molnar, R.E. and Kurz, C. 1997. The distribution of Pleistocene vertebrates on the eastern Darling Downs, based on the Queensland Museum collections. Proceedings of the Linnean Society of New South Wales 117: 107-134.","","","151.9","","","","","","","Darling Downs","","Queensland","degrees minutes","","-27 56","Site 36, Pilton, Kings Creek","151 54","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","Palaeontology","","","Database of Australasian Vertebrate Occurrences","","","","QM","","","","","FossilSpecimen","","","","","","Molnar, R.E. and Kurz, C., 1997, The distribution of Pleistocene vertebrates on the eastern Darling Downs, based on the Queensland Museum collections., Proceedings of the Linnean Society of New South Wales, 117: 107-134.","","","","DAVO-4202","","","","1","","","present","","","","DAVO=4202","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-27.93","","Molnar, R.E. and Kurz, C. 1997. The distribution of Pleistocene vertebrates on the eastern Darling Downs, based on the Queensland Museum collections. Proceedings of the Linnean Society of New South Wales 117: 107-134.","","","151.9","","","","","","","Darling Downs","","Queensland","degrees minutes","","-27 56","Site 38, Pearson's locality, Kings Creek","151 54","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","","","","Database of Australasian Vertebrate Occurrences","","","","","","","","","FossilSpecimen","","","","","","Ayliffe, L.K., Prideaux, G.J., Bird, M.I., Gr�n, R., Roberts, R.G., Gully, G.A., Jones, R., Fifield, L.K. and Cresswell, R.G., 2008, Age constraints on Pleistocene megafauna at Tight Entrance Cave in southwestern Australia., Quaternary Science Reviews, 27: 1784?1788.","","","","DAVO-4716","","","","1","","","present","","","","DAVO=4716","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-34.07","","Ayliffe, L.K., Prideaux, G.J., Bird, M.I., Gr�n, R., Roberts, R.G., Gully, G.A., Jones, R., Fifield, L.K. and Cresswell, R.G. 2008. Age constraints on Pleistocene megafauna at Tight Entrance Cave in southwestern Australia. Quaternary Science Reviews 27: 1784?1788.","","","115.02","","","","","","","","","Western Australia","degrees minutes","","-34 04","Tight Entrance Cave","115 01","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","","","","Database of Australasian Vertebrate Occurrences","","","","","","","","","FossilSpecimen","","","","","","Ayliffe, L.K., Prideaux, G.J., Bird, M.I., Gr�n, R., Roberts, R.G., Gully, G.A., Jones, R., Fifield, L.K. and Cresswell, R.G., 2008, Age constraints on Pleistocene megafauna at Tight Entrance Cave in southwestern Australia., Quaternary Science Reviews, 27: 1784?1788.","","","","DAVO-4717","","","","1","","","present","","","","DAVO=4717","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-34.07","","Ayliffe, L.K., Prideaux, G.J., Bird, M.I., Gr�n, R., Roberts, R.G., Gully, G.A., Jones, R., Fifield, L.K. and Cresswell, R.G. 2008. Age constraints on Pleistocene megafauna at Tight Entrance Cave in southwestern Australia. Quaternary Science Reviews 27: 1784?1788.","","","115.02","","","","","","","","","Western Australia","degrees minutes","","-34 04","Tight Entrance Cave","115 01","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","","","","Database of Australasian Vertebrate Occurrences","","","","","","","","","FossilSpecimen","","","","","","Ayliffe, L.K., Prideaux, G.J., Bird, M.I., Gr�n, R., Roberts, R.G., Gully, G.A., Jones, R., Fifield, L.K. and Cresswell, R.G., 2008, Age constraints on Pleistocene megafauna at Tight Entrance Cave in southwestern Australia., Quaternary Science Reviews, 27: 1784?1788.","","","","DAVO-4718","","","","1","","","present","","","","DAVO=4718","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-34.07","","Ayliffe, L.K., Prideaux, G.J., Bird, M.I., Gr�n, R., Roberts, R.G., Gully, G.A., Jones, R., Fifield, L.K. and Cresswell, R.G. 2008. Age constraints on Pleistocene megafauna at Tight Entrance Cave in southwestern Australia. Quaternary Science Reviews 27: 1784?1788.","","","115.02","","","","","","","","","Western Australia","degrees minutes","","-34 04","Tight Entrance Cave","115 01","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","","","","Database of Australasian Vertebrate Occurrences","","","","","","","","","FossilSpecimen","","","","","","Ayliffe, L.K., Prideaux, G.J., Bird, M.I., Gr�n, R., Roberts, R.G., Gully, G.A., Jones, R., Fifield, L.K. and Cresswell, R.G., 2008, Age constraints on Pleistocene megafauna at Tight Entrance Cave in southwestern Australia., Quaternary Science Reviews, 27: 1784?1788.","","","","DAVO-4719","","","","1","","","present","","","","DAVO=4719","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-34.07","","Ayliffe, L.K., Prideaux, G.J., Bird, M.I., Gr�n, R., Roberts, R.G., Gully, G.A., Jones, R., Fifield, L.K. and Cresswell, R.G. 2008. Age constraints on Pleistocene megafauna at Tight Entrance Cave in southwestern Australia. Quaternary Science Reviews 27: 1784?1788.","","","115.02","","","","","","","","","Western Australia","degrees minutes","","-34 04","Tight Entrance Cave","115 01","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","","","","Database of Australasian Vertebrate Occurrences","","","","","","","","","FossilSpecimen","","","","","","Ayliffe, L.K., Prideaux, G.J., Bird, M.I., Gr�n, R., Roberts, R.G., Gully, G.A., Jones, R., Fifield, L.K. and Cresswell, R.G., 2008, Age constraints on Pleistocene megafauna at Tight Entrance Cave in southwestern Australia., Quaternary Science Reviews, 27: 1784?1788.","","","","DAVO-4720","","","","1","","","present","","","","DAVO=4720","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-34.07","","Ayliffe, L.K., Prideaux, G.J., Bird, M.I., Gr�n, R., Roberts, R.G., Gully, G.A., Jones, R., Fifield, L.K. and Cresswell, R.G. 2008. Age constraints on Pleistocene megafauna at Tight Entrance Cave in southwestern Australia. Quaternary Science Reviews 27: 1784?1788.","","","115.02","","","","","","","","","Western Australia","degrees minutes","","-34 04","Tight Entrance Cave","115 01","EPSG:4283","","","","","","","","",""
"FossilSpecimen","","","","Palaeontology","","","Database of Australasian Vertebrate Occurrences","","","","SAMA","","","","","FossilSpecimen","","","","","","Prideaux, G.J., Roberts, R.G., Megirian, D., Westaway, K.E., Hellstrom, J.C. & Olley, J.M., 2007, Mammalian responses to Pleistocene climate change in southeastern Australia, Geology, 35(1): 33-36","","","","DAVO-4822","","","","1","","","present","","","","DAVO=4822","fossil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.0","Australia","","","","","","","","EPSG:4326","","","","","","","","","","","-37.03","","Prideaux, G.J., Roberts, R.G., Megirian, D., Westaway, K.E., Hellstrom, J.C. and Olley, J.M. 2007. Mammalian responses to Pleistocene climate change in southeastern Australia. Geology 35(1): 33-36.","","","140.8","","","","","","","","","South Australia","degrees minutes","","-37 02","Cathedral Cave Fossil Chamber","140 48","EPSG:4283","","","","","","","","",""
